Column1,productname,productsubname,productprice,productactualprice,Discount
132,Truck Art: Iron Man,Oversized T-Shirts,949,949,0.00%
133,Marvel: Avenger 63,Polos,1299,1299,0.00%
134,Classic Sustainable Tee: Charcoal Black,Oversized T-Shirts,749,999,25.03%
135,Popeye: Bring Em On,Oversized Full Sleeve T-Shirts,999,999,0.00%
136,Black Panther: Mask 66,Oversized Polos,1299,1299,0.00%
137,Spider-Man: Pavitr Prabhakar,Oversized T-Shirts,949,949,0.00%
138,Supima: Stone Brown,Supima T-Shirts,999,999,0.00%
139,Solids: Maroon,Oversized T-Shirts,799,799,0.00%
140,Solids: Sea Blue,Oversized T-Shirts,799,799,0.00%
141,Truck Art: Deadpool,Oversized T-Shirts,1049,1049,0.00%
142,Courage: Existential Crisis,T-Shirts,699,699,0.00%
143,Solids: White & Berry Colourblock,Oversized Polos,1399,1399,0.00%
144,Hulk: The Incredible,Oversized T-Shirts,1299,1299,0.00%
145,Solids: Pastel Pink,Oversized Full Sleeve T-Shirts,799,1199,33.36%
146,TSS Originals: Beary Cute,T-Shirts,449,699,35.77%
147,Classic Sustainable Tee: Cocoa Brown,Oversized T-Shirts,999,999,0.00%
148,TSS Originals: Scarlet Scale,Men Rugby Polos,1049,1049,0.00%
149,Donald Duck: Stripes,T-Shirts,699,699,0.00%
150,Jurassic Park: Roaring Times,Oversized T-Shirts,999,999,0.00%
151,Superman: Man Of Steel,T-Shirts,649,649,0.00%
152,TSS Originals: Later Hater,Oversized T-Shirts,699,999,30.03%
153,TSS Originals: Mosaic Blue,Oversized Full Sleeve T-Shirts,999,999,0.00%
154,Solids: White,Oversized T-Shirts,899,899,0.00%
155,Hulk: Gamma Fury,Oversized T-Shirts,1499,1499,0.00%
156,Alien Invasion: Exploring Earth,Oversized T-Shirts,1049,1049,0.00%
157,Archie: Riverdale Varsity,Oversized T-Shirts,849,849,0.00%
158,Top Gun: Maverick Polo,Oversized Polos,1299,1299,0.00%
159,Batman: Gotham Guardian,Oversized T-Shirts,999,999,0.00%
160,TSS Originals: Astro Rock,Oversized T-Shirts,999,999,0.00%
161,ISRO: India Pride,Oversized T-Shirts,999,999,0.00%
162,Truck Art: Doctor Strange,Oversized T-Shirts,1049,1049,0.00%
163,Solids Rugby Polo: Navy Striped,Men Rugby Polos,1049,1049,0.00%
164,Tom And Jerry: Angry Tom,Oversized T-Shirts,899,899,0.00%
165,Naruto: Battle Ready,Oversized T-Shirts,1049,1049,0.00%
166,Solids: Deep Lavender,T-Shirts,599,599,0.00%
167,TMNT: The Squad,T-Shirts,799,799,0.00%
168,Solids: Sage Green,Oversized T-Shirts,599,999,40.04%
169,Avengers: The Heroes,Oversized T-Shirts,1299,1299,0.00%
170,Rick & Morty: Morty-fied,Oversized T-Shirts,699,999,30.03%
171,Captain America: The First Avenger,T-Shirts,599,599,0.00%
172,Wolverine: Weapon X,Oversized T-Shirts,1049,1049,0.00%
173,Rick & Morty: Interdimensional,Oversized T-Shirts,999,999,0.00%
174,Batman: Caped Crusader,Hooded T-Shirts,999,999,0.00%
175,Solids: Powder Blue,Oversized T-Shirts,899,899,0.00%
176,Looney Tunes: Jammin,Hooded T-Shirts,749,1199,37.53%
177,Supima: Aqua Blue,Supima T-Shirts,999,999,0.00%
178,House of the Dragon: Fire and Blood,Men Relaxed Fit T-Shirts,599,599,0.00%
179,Solids: Yellow Ochre,Oversized T-Shirts,799,799,0.00%
180,Rick And Morty: Escape,Hooded T-Shirts,699,1199,41.70%
181,Scooby Doo: Halloween,Oversized T-Shirts,799,799,0.00%
182,Ghost Rider: Spirit Of Vengeance,Oversized T-Shirts,799,999,20.02%
183,Utility T-shirt: Blaze,Oversized T-Shirts,1049,1049,0.00%
184,TSS Originals: Iris,Hooded T-Shirts,1499,1499,0.00%
185,TSS Originals: Irish,Oversized Full Sleeve T-Shirts,999,999,0.00%
186,Spider-Man: Logo (Colourblock),Zipper Polos,1399,1399,0.00%
187,The Boys: Logo,Men Relaxed Fit T-Shirts,749,749,0.00%
188,Rick And Morty: Morty Universe,Oversized T-Shirts,749,999,25.03%
189,TSS Originals: Mumbai,Oversized T-Shirts,899,899,0.00%
190,Solids: Superhero Red,Oversized T-Shirts,799,899,11.12%
191,DC: Batman Beyond,Oversized T-Shirts,1299,1299,0.00%
192,Marvel: Creative Chaos,Oversized T-Shirts,1199,1199,0.00%
193,Rick and Morty: Reality,Oversized T-Shirts,999,999,0.00%
194,TSS Originals: Happy High,Oversized T-Shirts,899,899,0.00%
195,Minions: Blah Blah Blah,Oversized T-Shirts,1049,1049,0.00%
196,Supima: White,Supima T-Shirts,999,999,0.00%
197,Captain America: Super Soldier,Hooded T-Shirts,899,899,0.00%
198,Supima: Sparkling Orange,Supima T-Shirts,999,999,0.00%
199,Punisher: Logo,Oversized Polos,1099,1099,0.00%
200,Solids: Off White,Oversized T-Shirts,999,999,0.00%
201,Brooklyn Nine-Nine: 99th Precinct,Oversized T-Shirts,1049,1049,0.00%
202,Garfield: Espresso Yourself,T-Shirts,799,799,0.00%
203,Solids: Deep Lavender,Oversized T-Shirts,749,999,25.03%
204,Monopoly: Broke!,T-Shirts,599,599,0.00%
205,Solids: Washed Blue,T-Shirts,499,699,28.61%
206,Squid Game: Front Man,Oversized Full Sleeve T-Shirts,999,999,0.00%
207,Looney Tunes: Serial Chiller,Men Relaxed Fit T-Shirts,599,799,25.03%
208,Supima: Dusty Pink,Supima T-Shirts,999,999,0.00%
209,Supima: Light Olive,Supima T-Shirts,999,999,0.00%
210,Solids: Burgundy,T-Shirts,649,649,0.00%
211,Marvel: Comic Cards,Oversized T-Shirts,1049,1049,0.00%
212,TSS Originals: Jasper,Oversized Full Sleeve T-Shirts,999,999,0.00%
213,TSS Originals: Red,Oversized T-Shirts,799,999,20.02%
214,Kung Fu Panda: Dragon Warrior,Oversized T-Shirts,1049,1049,0.00%
215,Looney Tunes: Did Somebody Say..,Oversized T-Shirts,999,999,0.00%
216,Deadpool: Dogpool,Oversized T-Shirts,899,899,0.00%
217,Venom: Desi,Oversized T-Shirts,949,949,0.00%
218,Superman: The Man of Steel,Oversized T-Shirts,899,899,0.00%
219,Tom And Jerry: Devious Duo,Oversized T-Shirts,999,999,0.00%
220,Spider-Man: Sigil,T-Shirts,599,599,0.00%
221,Solids: Off White and Yellow,Hooded T-Shirts,849,1199,29.19%
222,Naruto: Believe it,Oversized T-Shirts,699,999,30.03%
223,DC: Batman & Nightwing,Hooded T-Shirts,1399,1399,0.00%
224,Courage: Same Shit,T-Shirts,999,999,0.00%
225,Naruto: Ghost of Uchiha,Oversized T-Shirts,1049,1049,0.00%
226,Naruto: Sannin,Oversized T-Shirts,1049,1049,0.00%
227,TSS Originals: Shadow,Oversized T-Shirts,1499,1499,0.00%
228,Batman: The Dark Knight,Hooded T-Shirts,1399,1399,0.00%
229,Avatar: Balance,Oversized T-Shirts,999,999,0.00%
230,Supima: Peach,Supima T-Shirts,999,999,0.00%
231,TSS Originals: Stitch,Oversized T-Shirts,1499,1499,0.00%
232,Dungeons & Dragons: Owlbear,T-Shirts,599,599,0.00%
233,Naruto: Uchiha Clan,Oversized Full Sleeve T-Shirts,799,1299,38.49%
234,Supima: Faded Denim,Supima T-Shirts,999,999,0.00%
235,Supima: Lime Green,Supima T-Shirts,999,999,0.00%
236,TMNT: Cowabunga,Oversized T-Shirts,1049,1049,0.00%
237,Iron Man: Logo,Oversized T-Shirts,999,999,0.00%
238,Naruto: Gaara of the Sand,Men Relaxed Fit T-Shirts,749,749,0.00%
239,Star Wars: Galactic Outlaw,Hooded T-Shirts,999,1399,28.59%
240,Harry Potter: Quidditch Champ,Men Rugby Polos,1299,1299,0.00%
241,Solids: Maroon,Oversized T-Shirts,699,999,30.03%
242,Solids: Jade Green,Oversized T-Shirts,549,999,45.05%
243,Kung Fu Panda: Master Of Chi,Oversized T-Shirts,1299,1299,0.00%
244,Tom And Jerry: Thinking Tom,T-Shirts,899,899,0.00%
245,Disney: Donald Duck Attitude,Oversized T-Shirts,999,999,0.00%
246,Punisher: Lethal Mode,Oversized T-Shirts,999,999,0.00%
